0	-nan
0.07	14.6545
0.14	7.39637
0.21	4.91369
0.28	3.63318
0.35	2.83897
0.42	2.29164
0.49	1.88805
0.56	1.57623
0.63	1.32701
0.7	1.12272
0.77	0.951916
0.84	0.806876
0.91	0.682155
0.98	0.573791
1.05	0.478825
1.12	0.394991
1.19	0.320524
1.26	0.25402
1.33	0.194349
1.4	0.14059
1.47	0.091979
1.54	0.0478819
1.61	0.00776292
1.68	-0.0288322
1.75	-0.0622921
1.82	-0.0929513
1.89	-0.121099
1.96	-0.146988
2.03	-0.170839
2.1	-0.192846
2.17	-0.21318
2.24	-0.231992
2.31	-0.249418
2.38	-0.265579
2.45	-0.280581
2.52	-0.294522
2.59	-0.307489
2.66	-0.31956
2.73	-0.330806
2.8	-0.341292
2.87	-0.351075
2.94	-0.36021
3.01	-0.368744
3.08	-0.376722
3.15	-0.384184
3.22	-0.391167
3.29	-0.397705
3.36	-0.40383
3.43	-0.409569
3.5	-0.414951
3.57	-0.419997
3.64	-0.424733
3.71	-0.429177
3.78	-0.43335
3.85	-0.437269
3.92	-0.440951
3.99	-0.44441
4.06	-0.447662
4.13	-0.450719
4.2	-0.453594
4.27	-0.456298
4.34	-0.458842
4.41	-0.461235
4.48	-0.463487
4.55	-0.465607
4.62	-0.467603
4.69	-0.469482
4.76	-0.471251
4.83	-0.472917
4.9	-0.474486
4.97	-0.475964
5.04	-0.477356
5.11	-0.478667
5.18	-0.479903
5.25	-0.481067
5.32	-0.482163
5.39	-0.483197
5.46	-0.484171
5.53	-0.485088
5.6	-0.485953
5.67	-0.486768
5.74	-0.487536
5.81	-0.48826
5.88	-0.488942
5.95	-0.489585
6.02	-0.49019
6.09	-0.490761
6.16	-0.491299
6.23	-0.491806
6.3	-0.492284
6.37	-0.492734
6.44	-0.493159
6.51	-0.493559
6.58	-0.493935
6.65	-0.49429
6.72	-0.494625
6.79	-0.49494
6.86	-0.495237
6.93	-0.495517
